"","word","freq","prob"
"awkward moment when you","awkward moment when you",12,0.000103548253486125
"been a lot of","been a lot of",12,0.000103548253486125
"before the end of","before the end of",12,0.000103548253486125
"but at the same","but at the same",12,0.000103548253486125
"but i dont think","but i dont think",12,0.000103548253486125
"cake cake cake cake","cake cake cake cake",12,0.000103548253486125
"couple of weeks ago","couple of weeks ago",12,0.000103548253486125
"couple of years ago","couple of years ago",12,0.000103548253486125
"dont get me wrong","dont get me wrong",12,0.000103548253486125
"for the shout out","for the shout out",12,0.000103548253486125
"from am to pm","from am to pm",12,0.000103548253486125
"got a lot of","got a lot of",12,0.000103548253486125
"great to meet you","great to meet you",12,0.000103548253486125
"had so much fun","had so much fun",12,0.000103548253486125
"have a good day","have a good day",12,0.000103548253486125
"he was in the","he was in the",12,0.000103548253486125
"i am looking forward","i am looking forward",12,0.000103548253486125
"i do not know","i do not know",12,0.000103548253486125
"i have a feeling","i have a feeling",12,0.000103548253486125
"i just wanted to","i just wanted to",12,0.000103548253486125
"if i had a","if i had a",12,0.000103548253486125
"if you are interested","if you are interested",12,0.000103548253486125
"in front of a","in front of a",12,0.000103548253486125
"in order to get","in order to get",12,0.000103548253486125
"in the first quarter","in the first quarter",12,0.000103548253486125
"in the hands of","in the hands of",12,0.000103548253486125
"in the morning and","in the morning and",12,0.000103548253486125
"in the same way","in the same way",12,0.000103548253486125
"is supposed to be","is supposed to be",12,0.000103548253486125
"it needs to be","it needs to be",12,0.000103548253486125
"it was great to","it was great to",12,0.000103548253486125
"it was just a","it was just a",12,0.000103548253486125
"its one of the","its one of the",12,0.000103548253486125
"might be able to","might be able to",12,0.000103548253486125
"no matter how much","no matter how much",12,0.000103548253486125
"on the same page","on the same page",12,0.000103548253486125
"over the past year","over the past year",12,0.000103548253486125
"tens of thousands of","tens of thousands of",12,0.000103548253486125
"thank you for following","thank you for following",12,0.000103548253486125
"thank you to all","thank you to all",12,0.000103548253486125
"thanks for all the","thanks for all the",12,0.000103548253486125
"thanks for the love","thanks for the love",12,0.000103548253486125
"thanks for the support","thanks for the support",12,0.000103548253486125
"thanks for the tweet","thanks for the tweet",12,0.000103548253486125
"that i need to","that i need to",12,0.000103548253486125
"that it was a","that it was a",12,0.000103548253486125
"that there is no","that there is no",12,0.000103548253486125
"that you want to","that you want to",12,0.000103548253486125
"the course of the","the course of the",12,0.000103548253486125
"the first round of","the first round of",12,0.000103548253486125
"the last couple of","the last couple of",12,0.000103548253486125
"the last few years","the last few years",12,0.000103548253486125
"the only one that","the only one that",12,0.000103548253486125
"the only thing i","the only thing i",12,0.000103548253486125
"the rest of my","the rest of my",12,0.000103548253486125
"the same time i","the same time i",12,0.000103548253486125
"the second half of","the second half of",12,0.000103548253486125
"there will be no","there will be no",12,0.000103548253486125
"they are going to","they are going to",12,0.000103548253486125
"this is a great","this is a great",12,0.000103548253486125
"this is a very","this is a very",12,0.000103548253486125
"time for me to","time for me to",12,0.000103548253486125
"to do with it","to do with it",12,0.000103548253486125
"to go to bed","to go to bed",12,0.000103548253486125
"to make a difference","to make a difference",12,0.000103548253486125
"to the united states","to the united states",12,0.000103548253486125
"want to be in","want to be in",12,0.000103548253486125
"want to know what","want to know what",12,0.000103548253486125
"we were going to","we were going to",12,0.000103548253486125
"were going to have","were going to have",12,0.000103548253486125
"what i want to","what i want to",12,0.000103548253486125
"when it came to","when it came to",12,0.000103548253486125
"would not have been","would not have been",12,0.000103548253486125
"you dont need to","you dont need to",12,0.000103548253486125
"you want me to","you want me to",12,0.000103548253486125
"a good idea to","a good idea to",11,9.49192323622808e-05
"a little more than","a little more than",11,9.49192323622808e-05
"a whole lot of","a whole lot of",11,9.49192323622808e-05
"and all of the","and all of the",11,9.49192323622808e-05
"and i wanted to","and i wanted to",11,9.49192323622808e-05
"are going to do","are going to do",11,9.49192323622808e-05
"at this point i","at this point i",11,9.49192323622808e-05
"back in the day","back in the day",11,9.49192323622808e-05
"be sure to check","be sure to check",11,9.49192323622808e-05
"be the first to","be the first to",11,9.49192323622808e-05
"but it is a","but it is a",11,9.49192323622808e-05
"but you have to","but you have to",11,9.49192323622808e-05
"cant wait to hear","cant wait to hear",11,9.49192323622808e-05
"days in a row","days in a row",11,9.49192323622808e-05
"despite the fact that","despite the fact that",11,9.49192323622808e-05
"do not want to","do not want to",11,9.49192323622808e-05
"doing a lot of","doing a lot of",11,9.49192323622808e-05
"end of the year","end of the year",11,9.49192323622808e-05
"for a few minutes","for a few minutes",11,9.49192323622808e-05
"for a variety of","for a variety of",11,9.49192323622808e-05
"for as long as","for as long as",11,9.49192323622808e-05
"for more information call","for more information call",11,9.49192323622808e-05
"go back to the","go back to the",11,9.49192323622808e-05
"had a good time","had a good time",11,9.49192323622808e-05
"had the opportunity to","had the opportunity to",11,9.49192323622808e-05
"has to do with","has to do with",11,9.49192323622808e-05
"have to do is","have to do is",11,9.49192323622808e-05
"he was one of","he was one of",11,9.49192323622808e-05
"hope everyone has a","hope everyone has a",11,9.49192323622808e-05
"hundreds of thousands of","hundreds of thousands of",11,9.49192323622808e-05
"i dont think it","i dont think it",11,9.49192323622808e-05
"i feel like a","i feel like a",11,9.49192323622808e-05
"i have to get","i have to get",11,9.49192323622808e-05
"i knew i had","i knew i had",11,9.49192323622808e-05
"i knew i was","i knew i was",11,9.49192323622808e-05
"i know that i","i know that i",11,9.49192323622808e-05
"i think i have","i think i have",11,9.49192323622808e-05
"i think i will","i think i will",11,9.49192323622808e-05
"i think it was","i think it was",11,9.49192323622808e-05
"if you are going","if you are going",11,9.49192323622808e-05
"if you dont want","if you dont want",11,9.49192323622808e-05
"if you want a","if you want a",11,9.49192323622808e-05
"im going to do","im going to do",11,9.49192323622808e-05
"in a couple of","in a couple of",11,9.49192323622808e-05
"in the case of","in the case of",11,9.49192323622808e-05
"in the middle east","in the middle east",11,9.49192323622808e-05
